tool,benchmark,instance_id,status,time,algorithm,timeout,note
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=8_m=1_instance_0_0.onnx|vnnlib/property_N=8_0.vnnlib,unknown,0.084507,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=8_m=1_instance_0_1.onnx|vnnlib/property_N=8_1.vnnlib,unknown,0.052775,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=8_m=1_instance_0_2.onnx|vnnlib/property_N=8_2.vnnlib,unknown,0.051707,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=8_m=1_instance_0_3.onnx|vnnlib/property_N=8_3.vnnlib,unknown,0.053076,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=16_m=1_instance_1_0.onnx|vnnlib/property_N=16_0.vnnlib,unknown,0.076247,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=16_m=1_instance_1_1.onnx|vnnlib/property_N=16_1.vnnlib,unknown,0.075548,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=16_m=1_instance_1_2.onnx|vnnlib/property_N=16_2.vnnlib,unknown,0.074877,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=16_m=1_instance_1_3.onnx|vnnlib/property_N=16_3.vnnlib,unknown,0.073642,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=24_m=1_instance_2_0.onnx|vnnlib/property_N=24_0.vnnlib,unknown,0.157276,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=24_m=1_instance_2_1.onnx|vnnlib/property_N=24_1.vnnlib,unknown,0.155762,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=24_m=1_instance_2_2.onnx|vnnlib/property_N=24_2.vnnlib,unknown,0.156183,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=24_m=1_instance_2_3.onnx|vnnlib/property_N=24_3.vnnlib,unknown,0.15521,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=32_m=1_instance_3_0.onnx|vnnlib/property_N=32_0.vnnlib,unknown,0.435834,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=32_m=1_instance_3_1.onnx|vnnlib/property_N=32_1.vnnlib,unknown,0.420811,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=32_m=1_instance_3_2.onnx|vnnlib/property_N=32_2.vnnlib,unknown,0.41955,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=32_m=1_instance_3_3.onnx|vnnlib/property_N=32_3.vnnlib,unknown,0.419544,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=40_m=1_instance_4_0.onnx|vnnlib/property_N=40_0.vnnlib,unknown,1.477773,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=40_m=1_instance_4_1.onnx|vnnlib/property_N=40_1.vnnlib,unknown,1.445287,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=40_m=1_instance_4_2.onnx|vnnlib/property_N=40_2.vnnlib,unknown,1.453204,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=40_m=1_instance_4_3.onnx|vnnlib/property_N=40_3.vnnlib,unknown,1.4524,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=48_m=1_instance_5_0.onnx|vnnlib/property_N=48_0.vnnlib,unknown,3.806501,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=48_m=1_instance_5_1.onnx|vnnlib/property_N=48_1.vnnlib,unknown,3.820495,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=48_m=1_instance_5_2.onnx|vnnlib/property_N=48_2.vnnlib,unknown,3.816713,estimate-bounds,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=48_m=1_instance_5_3.onnx|vnnlib/property_N=48_3.vnnlib,unknown,3.837865,estimate-bounds,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=8_m=1_instance_0_0.onnx|vnnlib/property_N=8_0.vnnlib,unknown,1.420752,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=8_m=1_instance_0_1.onnx|vnnlib/property_N=8_1.vnnlib,unknown,1.021046,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=8_m=1_instance_0_2.onnx|vnnlib/property_N=8_2.vnnlib,unknown,1.010454,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=8_m=1_instance_0_3.onnx|vnnlib/property_N=8_3.vnnlib,unknown,1.399129,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=16_m=1_instance_1_0.onnx|vnnlib/property_N=16_0.vnnlib,unknown,7.618717,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=16_m=1_instance_1_1.onnx|vnnlib/property_N=16_1.vnnlib,unknown,5.851922,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=16_m=1_instance_1_2.onnx|vnnlib/property_N=16_2.vnnlib,unknown,7.526226,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=16_m=1_instance_1_3.onnx|vnnlib/property_N=16_3.vnnlib,unknown,7.517572,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=24_m=1_instance_2_0.onnx|vnnlib/property_N=24_0.vnnlib,unknown,62.833498,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=24_m=1_instance_2_1.onnx|vnnlib/property_N=24_1.vnnlib,unknown,59.049751,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=24_m=1_instance_2_2.onnx|vnnlib/property_N=24_2.vnnlib,unknown,58.811621,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=24_m=1_instance_2_3.onnx|vnnlib/property_N=24_3.vnnlib,unknown,56.466221,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=32_m=1_instance_3_0.onnx|vnnlib/property_N=32_0.vnnlib,unknown,207.133117,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=32_m=1_instance_3_1.onnx|vnnlib/property_N=32_1.vnnlib,unknown,187.985586,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=32_m=1_instance_3_2.onnx|vnnlib/property_N=32_2.vnnlib,unknown,233.292383,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=32_m=1_instance_3_3.onnx|vnnlib/property_N=32_3.vnnlib,unknown,247.666582,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=40_m=1_instance_4_0.onnx|vnnlib/property_N=40_0.vnnlib,unknown,521.890529,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=40_m=1_instance_4_1.onnx|vnnlib/property_N=40_1.vnnlib,timeout,900,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=40_m=1_instance_4_2.onnx|vnnlib/property_N=40_2.vnnlib,timeout,900,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=40_m=1_instance_4_3.onnx|vnnlib/property_N=40_3.vnnlib,timeout,900,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=48_m=1_instance_5_0.onnx|vnnlib/property_N=48_0.vnnlib,timeout,900,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=48_m=1_instance_5_1.onnx|vnnlib/property_N=48_1.vnnlib,timeout,900,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=48_m=1_instance_5_2.onnx|vnnlib/property_N=48_2.vnnlib,timeout,900,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=48_m=1_instance_5_3.onnx|vnnlib/property_N=48_3.vnnlib,timeout,900,relax-star-50,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=56_m=1_instance_6_0.onnx|vnnlib/property_N=56_0.vnnlib,error,NaN,relax-star-50,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=56_m=1_instance_6_0.onnx|vnnlib/property_N=56_0.vnnlib,error,NaN,estimate-bounds,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=56_m=1_instance_6_1.onnx|vnnlib/property_N=56_1.vnnlib,error,NaN,relax-star-50,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=56_m=1_instance_6_1.onnx|vnnlib/property_N=56_1.vnnlib,error,NaN,estimate-bounds,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=56_m=1_instance_6_2.onnx|vnnlib/property_N=56_2.vnnlib,error,NaN,relax-star-50,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=56_m=1_instance_6_2.onnx|vnnlib/property_N=56_2.vnnlib,error,NaN,estimate-bounds,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=56_m=1_instance_6_3.onnx|vnnlib/property_N=56_3.vnnlib,error,NaN,relax-star-50,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=56_m=1_instance_6_3.onnx|vnnlib/property_N=56_3.vnnlib,error,NaN,estimate-bounds,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=64_m=1_instance_7_0.onnx|vnnlib/property_N=64_0.vnnlib,error,NaN,relax-star-50,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=64_m=1_instance_7_0.onnx|vnnlib/property_N=64_0.vnnlib,error,NaN,estimate-bounds,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=64_m=1_instance_7_1.onnx|vnnlib/property_N=64_1.vnnlib,error,NaN,relax-star-50,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=64_m=1_instance_7_1.onnx|vnnlib/property_N=64_1.vnnlib,error,NaN,estimate-bounds,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=64_m=1_instance_7_2.onnx|vnnlib/property_N=64_2.vnnlib,error,NaN,relax-star-50,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=64_m=1_instance_7_2.onnx|vnnlib/property_N=64_2.vnnlib,error,NaN,estimate-bounds,900,
nnv,tllverify,onnx/tllBench_n=2_N=M=64_m=1_instance_7_3.onnx|vnnlib/property_N=64_3.vnnlib,error,NaN,relax-star-50,900,
mw_estimate,tllverify,onnx/tllBench_n=2_N=M=64_m=1_instance_7_3.onnx|vnnlib/property_N=64_3.vnnlib,error,NaN,estimate-bounds,900,
