Layer,PerturbationFrac,VerifiedCount,TotalImages,VerifiedPercent,TotalTime,AvgTimePerImage
fc_6,0.005000,100,100,100.00,17.5871,0.1759
fc_6,0.010000,83,100,83.00,15.2687,0.1527
fc_6,0.015000,32,100,32.00,10.5596,0.1056
fc_6,0.020000,8,100,8.00,6.9454,0.0695
fc_5,0.001000,100,100,100.00,84.5270,0.8453
fc_5,0.002000,92,100,92.00,110.3836,1.1038
fc_5,0.003000,38,100,38.00,132.7677,1.3277
fc_5,0.004000,14,100,14.00,151.9216,1.5192
fc_4,0.001000,100,100,100.00,174.3944,1.7439
fc_4,0.002000,69,100,69.00,302.7816,3.0278
fc_4,0.003000,11,100,11.00,406.3510,4.0635
fc_4,0.004000,0,100,0.00,514.5088,5.1451
