Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00000.ppm;26;26;5;6;21;21;23
00000_00001.ppm;26;27;5;6;21;22;23
00000_00002.ppm;27;28;6;6;22;22;23
00000_00003.ppm;27;27;6;5;22;21;23
00000_00004.ppm;27;27;5;6;22;22;23
00000_00005.ppm;28;28;6;6;23;22;23
00000_00006.ppm;29;28;6;5;24;23;23
00000_00007.ppm;29;30;5;6;24;25;23
00000_00008.ppm;30;30;5;6;25;25;23
00000_00009.ppm;33;32;6;6;28;27;23
00000_00010.ppm;34;31;6;5;28;26;23
00000_00011.ppm;34;34;5;6;29;29;23
00000_00012.ppm;36;36;6;6;30;30;23
00000_00013.ppm;38;35;6;5;33;30;23
00000_00014.ppm;39;38;5;6;33;33;23
00000_00015.ppm;39;38;5;5;34;33;23
00000_00016.ppm;40;40;5;6;35;35;23
00000_00017.ppm;41;40;5;5;36;35;23
00000_00018.ppm;44;43;6;6;39;38;23
00000_00019.ppm;48;45;6;5;43;40;23
00000_00020.ppm;50;49;5;6;44;43;23
00000_00021.ppm;53;52;6;6;48;46;23
00000_00022.ppm;56;54;5;5;51;49;23
00000_00023.ppm;61;60;6;6;56;54;23
00000_00024.ppm;69;63;7;5;63;57;23
00000_00025.ppm;74;71;7;6;67;64;23
00000_00026.ppm;83;83;7;8;76;76;23
00000_00027.ppm;93;92;8;9;85;84;23
00000_00028.ppm;110;103;10;9;101;94;23
00000_00029.ppm;137;128;12;11;125;117;23
00001_00000.ppm;62;60;6;6;57;55;23
00001_00001.ppm;62;61;5;6;57;56;23
00001_00002.ppm;68;63;7;6;62;58;23
00001_00003.ppm;68;63;6;5;62;58;23
00001_00004.ppm;71;68;6;6;65;61;23
00001_00005.ppm;74;70;7;7;68;64;23
00001_00006.ppm;74;72;6;7;67;65;23
00001_00007.ppm;77;74;7;7;71;68;23
00001_00008.ppm;77;75;6;7;70;69;23
00001_00009.ppm;81;80;7;8;74;73;23
00001_00010.ppm;84;81;8;8;77;73;23
00001_00011.ppm;86;82;7;8;78;74;23
00001_00012.ppm;92;82;9;7;84;75;23
00001_00013.ppm;93;84;9;7;85;76;23
00001_00014.ppm;95;89;8;8;87;82;23
00001_00015.ppm;100;95;9;9;92;87;23
00001_00016.ppm;106;93;10;8;97;85;23
00001_00017.ppm;112;105;9;9;103;96;23
00001_00018.ppm;112;106;9;10;103;97;23
00001_00019.ppm;121;112;10;10;110;103;23
00001_00020.ppm;124;117;10;10;114;107;23
00001_00021.ppm;132;123;12;11;121;113;23
00001_00022.ppm;141;132;12;12;129;121;23
00001_00023.ppm;145;136;12;12;133;125;23
00001_00024.ppm;158;147;13;12;144;134;23
00001_00025.ppm;166;153;15;13;152;140;23
00001_00026.ppm;175;160;15;13;160;147;23
00001_00027.ppm;194;179;17;15;178;164;23
00001_00028.ppm;205;191;17;17;187;175;23
00001_00029.ppm;226;213;19;18;209;195;23
00002_00000.ppm;37;34;6;6;32;29;23
00002_00001.ppm;38;34;6;6;32;29;23
00002_00002.ppm;37;35;5;5;32;29;23
00002_00003.ppm;39;35;5;5;33;30;23
00002_00004.ppm;39;36;5;5;34;31;23
00002_00005.ppm;40;36;6;6;35;31;23
00002_00006.ppm;41;38;6;6;36;33;23
00002_00007.ppm;41;39;6;6;36;34;23
00002_00008.ppm;43;40;6;6;38;35;23
00002_00009.ppm;44;40;6;6;39;35;23
00002_00010.ppm;43;40;5;6;38;35;23
00002_00011.ppm;46;43;5;5;41;38;23
00002_00012.ppm;47;43;5;5;42;38;23
00002_00013.ppm;49;46;5;5;44;41;23
00002_00014.ppm;51;49;5;6;46;43;23
00002_00015.ppm;54;49;5;5;49;43;23
00002_00016.ppm;57;51;6;6;52;46;23
00002_00017.ppm;59;53;6;6;53;48;23
00002_00018.ppm;60;56;6;6;55;51;23
00002_00019.ppm;62;58;5;5;57;52;23
00002_00020.ppm;69;62;7;6;63;57;23
00002_00021.ppm;72;67;6;6;66;61;23
00002_00022.ppm;77;71;7;6;71;65;23
00002_00023.ppm;85;76;7;7;78;70;23
00002_00024.ppm;95;85;8;8;87;78;23
00002_00025.ppm;106;93;9;8;97;85;23
00002_00026.ppm;118;100;11;8;108;92;23
00002_00027.ppm;131;112;12;9;120;103;23
00002_00028.ppm;160;134;14;11;147;123;23
00002_00029.ppm;192;157;17;14;176;144;23
00003_00000.ppm;51;50;5;6;46;45;23
00003_00001.ppm;53;49;6;5;48;44;23
00003_00002.ppm;55;52;5;6;50;47;23
00003_00003.ppm;55;52;5;6;50;47;23
00003_00004.ppm;56;51;6;5;51;46;23
00003_00005.ppm;55;53;5;5;50;47;23
00003_00006.ppm;57;53;5;5;52;48;23
00003_00007.ppm;58;53;6;5;53;48;23
00003_00008.ppm;58;54;6;6;53;49;23
00003_00009.ppm;61;54;6;5;56;49;23
00003_00010.ppm;61;55;5;6;56;50;23
00003_00011.ppm;61;56;5;6;56;51;23
00003_00012.ppm;63;58;6;5;58;53;23
00003_00013.ppm;65;60;6;5;60;55;23
00003_00014.ppm;68;63;6;5;62;57;23
00003_00015.ppm;71;64;6;5;65;59;23
00003_00016.ppm;76;68;7;7;70;62;23
00003_00017.ppm;81;71;8;7;73;64;23
00003_00018.ppm;80;75;7;6;73;68;23
00003_00019.ppm;83;76;8;6;76;70;23
00003_00020.ppm;88;81;7;7;80;74;23
00003_00021.ppm;96;84;9;7;88;77;23
00003_00022.ppm;94;87;8;8;86;80;23
00003_00023.ppm;100;91;8;8;92;83;23
00003_00024.ppm;107;96;9;8;98;88;23
00003_00025.ppm;116;106;11;10;106;97;23
00003_00026.ppm;129;112;11;9;118;102;23
00003_00027.ppm;139;132;12;12;127;121;23
00003_00028.ppm;156;144;13;13;143;131;23
00003_00029.ppm;170;151;14;13;156;138;23
00004_00000.ppm;30;29;6;6;25;24;23
00004_00001.ppm;30;29;5;5;25;24;23
00004_00002.ppm;31;30;5;6;25;25;23
00004_00003.ppm;29;29;5;5;24;24;23
00004_00004.ppm;31;31;6;6;26;26;23
00004_00005.ppm;31;30;6;5;26;25;23
00004_00006.ppm;32;30;6;5;27;25;23
00004_00007.ppm;31;31;5;6;26;26;23
00004_00008.ppm;34;31;6;5;29;26;23
00004_00009.ppm;35;33;6;6;30;28;23
00004_00010.ppm;36;34;6;6;31;29;23
00004_00011.ppm;37;34;5;5;32;29;23
00004_00012.ppm;40;37;6;6;35;31;23
00004_00013.ppm;40;36;5;5;35;31;23
00004_00014.ppm;41;36;5;5;36;31;23
00004_00015.ppm;43;38;6;6;38;33;23
00004_00016.ppm;43;37;5;5;37;32;23
00004_00017.ppm;45;38;5;5;39;33;23
00004_00018.ppm;49;41;6;5;43;36;23
00004_00019.ppm;48;44;6;6;43;39;23
00004_00020.ppm;48;44;6;5;43;39;23
00004_00021.ppm;51;49;6;6;46;44;23
00004_00022.ppm;53;51;5;5;48;46;23
00004_00023.ppm;56;55;5;5;51;50;23
00004_00024.ppm;59;58;5;5;54;53;23
00004_00025.ppm;65;62;6;5;59;56;23
00004_00026.ppm;71;68;7;6;65;62;23
00004_00027.ppm;74;69;7;7;68;63;23
00004_00028.ppm;82;76;7;7;75;69;23
00004_00029.ppm;92;84;8;7;84;76;23
00005_00000.ppm;31;30;5;6;26;25;23
00005_00001.ppm;30;30;6;5;25;25;23
00005_00002.ppm;31;31;5;6;26;26;23
00005_00003.ppm;32;32;6;6;27;26;23
00005_00004.ppm;34;32;6;5;29;27;23
00005_00005.ppm;34;34;5;5;29;28;23
00005_00006.ppm;36;35;6;6;31;30;23
00005_00007.ppm;35;35;5;6;30;30;23
00005_00008.ppm;35;34;5;5;30;29;23
00005_00009.ppm;37;36;5;5;32;31;23
00005_00010.ppm;39;38;5;5;34;33;23
00005_00011.ppm;40;38;5;5;35;33;23
00005_00012.ppm;42;40;6;6;37;35;23
00005_00013.ppm;46;43;6;6;40;37;23
00005_00014.ppm;46;43;5;6;41;38;23
00005_00015.ppm;48;43;6;5;43;38;23
00005_00016.ppm;50;46;6;6;45;41;23
00005_00017.ppm;52;48;6;5;47;42;23
00005_00018.ppm;54;50;5;5;49;45;23
00005_00019.ppm;56;52;6;5;51;46;23
00005_00020.ppm;59;54;6;5;53;49;23
00005_00021.ppm;61;59;5;6;56;53;23
00005_00022.ppm;68;60;7;5;62;55;23
00005_00023.ppm;74;69;6;7;68;63;23
00005_00024.ppm;84;74;7;7;77;68;23
00005_00025.ppm;87;81;7;8;80;74;23
00005_00026.ppm;99;89;8;8;91;82;23
00005_00027.ppm;110;100;9;9;101;92;23
00005_00028.ppm;136;122;11;11;124;112;23
00005_00029.ppm;160;145;13;13;146;132;23
00006_00000.ppm;38;34;6;6;33;29;23
00006_00001.ppm;37;33;6;6;32;28;23
00006_00002.ppm;36;33;6;6;31;28;23
00006_00003.ppm;36;33;6;6;31;28;23
00006_00004.ppm;36;33;5;6;31;28;23
00006_00005.ppm;37;32;5;5;32;27;23
00006_00006.ppm;37;34;6;6;32;29;23
00006_00007.ppm;38;34;5;5;33;29;23
00006_00008.ppm;39;36;5;6;34;31;23
00006_00009.ppm;39;35;5;5;34;30;23
00006_00010.ppm;40;36;6;6;35;31;23
00006_00011.ppm;41;38;5;6;36;33;23
00006_00012.ppm;42;38;5;5;37;33;23
00006_00013.ppm;43;41;5;6;38;36;23
00006_00014.ppm;44;40;6;5;39;35;23
00006_00015.ppm;45;40;5;5;40;35;23
00006_00016.ppm;47;43;6;6;42;38;23
00006_00017.ppm;49;44;6;6;44;39;23
00006_00018.ppm;51;46;6;6;46;41;23
00006_00019.ppm;51;46;5;6;46;41;23
00006_00020.ppm;53;47;6;5;48;42;23
00006_00021.ppm;54;49;5;5;49;44;23
00006_00022.ppm;55;50;5;5;50;45;23
00006_00023.ppm;58;54;5;5;53;49;23
00006_00024.ppm;61;57;6;6;56;52;23
00006_00025.ppm;63;58;5;5;58;53;23
00006_00026.ppm;70;63;7;6;64;58;23
00006_00027.ppm;72;65;7;6;66;60;23
00006_00028.ppm;76;68;7;6;70;62;23
