Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00000.ppm;38;35;5;5;33;30;31
00000_00001.ppm;40;36;6;5;34;31;31
00000_00002.ppm;40;37;5;5;34;32;31
00000_00003.ppm;41;39;6;6;36;34;31
00000_00004.ppm;43;37;6;5;38;32;31
00000_00005.ppm;43;39;6;5;38;34;31
00000_00006.ppm;45;41;5;6;40;36;31
00000_00007.ppm;48;41;6;6;43;36;31
00000_00008.ppm;50;44;5;6;45;39;31
00000_00009.ppm;51;43;6;5;46;38;31
00000_00010.ppm;51;44;6;5;46;39;31
00000_00011.ppm;51;44;6;5;46;39;31
00000_00012.ppm;51;45;6;6;46;40;31
00000_00013.ppm;53;46;6;5;48;41;31
00000_00014.ppm;55;48;6;5;50;43;31
00000_00015.ppm;56;50;5;6;51;45;31
00000_00016.ppm;58;51;5;5;53;46;31
00000_00017.ppm;62;58;5;6;57;53;31
00000_00018.ppm;64;58;5;5;59;53;31
00000_00019.ppm;69;61;6;5;63;56;31
00000_00020.ppm;74;69;6;7;68;63;31
00000_00021.ppm;80;71;8;6;73;65;31
00000_00022.ppm;83;75;8;6;76;69;31
00000_00023.ppm;88;80;7;7;81;73;31
00000_00024.ppm;94;83;9;7;86;76;31
00000_00025.ppm;101;92;9;8;93;84;31
00000_00026.ppm;112;104;10;10;103;95;31
00000_00027.ppm;125;116;11;10;115;106;31
00000_00028.ppm;140;129;13;11;128;118;31
00000_00029.ppm;155;143;14;12;142;131;31
00001_00000.ppm;37;35;5;6;32;30;31
00001_00001.ppm;39;35;6;5;34;30;31
00001_00002.ppm;39;37;5;6;34;32;31
00001_00003.ppm;41;38;6;6;35;32;31
00001_00004.ppm;41;37;6;5;36;32;31
00001_00005.ppm;42;39;6;6;37;34;31
00001_00006.ppm;42;38;6;5;37;33;31
00001_00007.ppm;43;40;6;6;38;35;31
00001_00008.ppm;44;41;6;6;39;35;31
00001_00009.ppm;45;42;6;6;40;36;31
00001_00010.ppm;46;43;6;6;41;37;31
00001_00011.ppm;47;42;6;5;42;37;31
00001_00012.ppm;48;43;6;5;43;38;31
00001_00013.ppm;49;45;6;5;44;39;31
00001_00014.ppm;50;46;6;5;45;40;31
00001_00015.ppm;50;47;5;6;45;42;31
00001_00016.ppm;52;49;5;5;47;44;31
00001_00017.ppm;54;51;6;6;49;46;31
00001_00018.ppm;55;51;5;5;50;46;31
00001_00019.ppm;56;53;5;5;51;47;31
00001_00020.ppm;58;55;6;6;53;49;31
00001_00021.ppm;59;55;6;5;54;49;31
00001_00022.ppm;59;56;5;6;54;51;31
00001_00023.ppm;62;58;6;6;57;53;31
00001_00024.ppm;64;60;6;6;59;55;31
00001_00025.ppm;70;63;7;5;64;58;31
00001_00026.ppm;73;68;7;6;67;62;31
00001_00027.ppm;77;71;7;6;71;65;31
00001_00028.ppm;82;76;7;7;74;69;31
00001_00029.ppm;86;80;8;7;79;73;31
00002_00000.ppm;37;34;6;5;32;29;31
00002_00001.ppm;37;34;6;5;32;29;31
00002_00002.ppm;37;35;6;6;32;30;31
00002_00003.ppm;36;35;5;5;31;30;31
00002_00004.ppm;37;36;5;5;32;31;31
00002_00005.ppm;38;37;5;5;33;32;31
00002_00006.ppm;40;39;6;6;35;34;31
00002_00007.ppm;40;40;5;6;35;35;31
00002_00008.ppm;42;41;5;6;37;36;31
00002_00009.ppm;41;39;6;5;36;34;31
00002_00010.ppm;42;40;6;6;37;35;31
00002_00011.ppm;43;41;5;5;38;36;31
00002_00012.ppm;47;43;6;5;42;38;31
00002_00013.ppm;51;46;6;5;46;41;31
00002_00014.ppm;51;48;5;6;46;43;31
00002_00015.ppm;52;47;6;5;47;42;31
00002_00016.ppm;55;52;5;6;50;47;31
00002_00017.ppm;59;55;5;5;54;50;31
00002_00018.ppm;63;57;6;6;58;52;31
00002_00019.ppm;63;57;6;5;58;52;31
00002_00020.ppm;67;62;6;6;61;57;31
00002_00021.ppm;73;69;6;6;67;63;31
00002_00022.ppm;76;72;6;7;70;66;31
00002_00023.ppm;82;74;8;6;75;68;31
00002_00024.ppm;92;85;8;7;84;78;31
00002_00025.ppm;104;97;9;9;95;89;31
00002_00026.ppm;110;105;9;9;101;96;31
00002_00027.ppm;120;116;10;11;110;106;31
00002_00028.ppm;146;141;12;13;134;129;31
00002_00029.ppm;191;176;16;15;175;161;31
00003_00000.ppm;34;36;5;5;29;31;31
00003_00001.ppm;36;38;6;6;31;32;31
00003_00002.ppm;37;38;5;6;31;33;31
00003_00003.ppm;38;38;5;6;33;33;31
00003_00004.ppm;40;38;6;5;35;33;31
00003_00005.ppm;41;38;5;5;35;33;31
00003_00006.ppm;42;39;5;5;37;34;31
00003_00007.ppm;43;40;5;5;38;34;31
00003_00008.ppm;44;42;5;6;39;36;31
00003_00009.ppm;46;41;6;5;41;36;31
00003_00010.ppm;47;43;6;6;42;38;31
00003_00011.ppm;47;42;5;5;42;37;31
00003_00012.ppm;48;44;6;6;43;39;31
00003_00013.ppm;48;44;5;5;43;39;31
00003_00014.ppm;50;46;6;6;45;41;31
00003_00015.ppm;52;48;6;6;46;43;31
00003_00016.ppm;52;47;6;5;47;42;31
00003_00017.ppm;52;49;6;6;47;44;31
00003_00018.ppm;52;50;6;6;47;45;31
00003_00019.ppm;53;52;5;6;48;47;31
00003_00020.ppm;57;53;6;5;52;48;31
00003_00021.ppm;60;57;6;6;55;52;31
